Label,Deskripsi
motif ceplok,"Motif ini terkenal dengan bentuk geometrisnya yang berulang. Biasanya terdiri dari lingkaran, kotak, dan pola simetris lainnya. Motif Ceplok melambangkan harmoni dan keseimbangan."
motif ceplok parang,"Terdiri dari berbagai desain geometris, umumnya berdasarkan bentuk bunga mawar yang melingkar, bintang, atau bentuk kecil lainnya."
motif ceplok grompol,"Motif Grompol melambangkan harapan akan kebahagiaan, rejeki, dan kerukunan, terutama dalam konteks pernikahan​."
motif kawung 1,"Dibentuk dari 4 lingkaran atau elips yang mengelilingi lingkaran kecil di tengah, melambangkan empat arah angin dan sumber tenaga. Kawung juga melambangkan kesederhanaan, keadilan, dan kesejahteraan dari seorang raja​."
motif kawung 2,"Dibentuk dari 4 lingkaran atau elips yang mengelilingi lingkaran kecil di tengah, melambangkan empat arah angin dan sumber tenaga. Kawung juga melambangkan kesederhanaan, keadilan, dan kesejahteraan dari seorang raja​."
motif parang gedreh,"Varian dari motif Parang dengan detail yang lebih rumit, melambangkan gelombang kehidupan."
motif parang tuding,"Motif Parang dengan ujung yang tajam, melambangkan kejelian dan kecerdasan."
motif parang rusak,"Motif dengan pola melenggkung yang dimanis, melambangkan perjuangan dan keberanian."
motif parang barong,"pola perang yang kuat dan dominan, melambangkan kekuatan dan otoritas."
motif lereng,"Motif yang mirip dengan lereng gunung atau bukit, melambangkan stabilitas dan keabadian."
motif udang liris,"menyerupai hujan halus, melambangkan kesuburan dan kehidupan."
motif nitik randu seling,"Pola titik yang teratur, melambangkan kecermatan dan detail."
motif nitik kembang jeruk,"Motif Nitik yang menyerupai bunga jeruk, yang bisa melambangkan kemakmuran dan kesuburan."
motif nitik truntum,"Melambangkan bimbingan, sering digunakan untuk menghiasi orang tua pengantin dalam pernikahan."
motif semen sido asih,"Motif-motif ini biasanya menggambarkan flora dan fauna, melambangkan cinta (Sido Asih)"
motif semen sido mukti,"Motif-motif ini biasanya menggambarkan flora dan fauna, kemakmuran atau kebahagiaan (Sido Mukti)."
motif semen garuda,"Terinspirasi dari burung mitos Garuda, melambangkan kemuliaan dan kekuatan."
motif isen,"Pola pengisi yang terdiri dari titik-titik atau garis kecil, menambah detail dan kedalaman pada motif utama."
